order,medication,pharmacologic_group,stopp_codes,start_codes,beers_codes
"1","PARACETAMOL 500 MG","Analgésico y antipirético no opioide","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-L6","",""
"2","TIAMINA CLORHIDRATO 100 MG","Vitamina hidrosoluble (vitamina B1)","STOPP-A1|STOPP-A2|STOPP-A3","",""
"3","DICLOFENACO SÓDICO 25 MG / ML X 3 ML","Antiinflamatorio no esteroideo (AINE)","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B17|STOPP-B19|STOPP-C10|STOPP-E4|STOPP-H1|STOPP-H2|STOPP-H3|STOPP-H7","START-F3","B05|B06|B07|B08"
"4","LOSARTAN 50 MG","Antihipertensivo: antagonista del receptor de angiotensina II (ARA-II)","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B12|STOPP-B13","START-B1|START-E4|START-J1","B21|B22"
"5","OMEPRAZOL 20 MG DE LIBERACIÓN RETARDADA","Antiulceroso: inhibidor de la bomba de protones","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-F2","START-F1|START-F2|START-F3","B04"
"6","HIDROXOCOBALAMINA 1 MG / ML X 1 ML","Vitamina hidrosoluble (vitamina B12)","STOPP-A1|STOPP-A2|STOPP-A3","",""
"7","GABAPENTINA 300 MG","Anticonvulsivante y modulador del dolor neuropático","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-K5|STOPP-L5","","B14|B16|B17|B19"
"8","HIPROMELOSA 0.3% X 10 ML SOLUCIÓN OFTÁLMICA","Lubricante ocular (lágrima artificial)","STOPP-A1|STOPP-A2|STOPP-A3","",""
"9","METFORMINA CLORHIDRATO 850 MG","Antidiabético: biguanida","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-E6","",""
"10","NAPROXENO 500 MG (BASE) Ó 550 MG (SAL SÓDICA)","Antiinflamatorio no esteroideo (AINE)","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B17|STOPP-B19|STOPP-C10|STOPP-E4|STOPP-H1|STOPP-H2|STOPP-H3|STOPP-H7","START-F3","B05|B06|B07|B08"
"11","ACIDO ACETILSALICILICO 100 MG","Antiagregante plaquetario","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-C1|STOPP-C2|STOPP-C4|STOPP-C5|STOPP-C7|STOPP-C16","START-C2|START-F2","B09|B07"
"12","ACETILCISTEINA 200 MG","Mucolítico","STOPP-A1|STOPP-A2|STOPP-A3","",""
"13","CETIRIZINA 10 MG","Antihistamínico H1 de segunda generación","STOPP-A1|STOPP-A2|STOPP-A3","",""
"14","ATORVASTATINA (COMO SAL CALCICA) 20 MG","Hipolipemiante: estatina","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B16","START-B2",""
"15","ACIDO FOLICO 0.5 MG","Vitamina hidrosoluble (ácido fólico, vitamina B9)","STOPP-A1|STOPP-A2|STOPP-A3","START-H9",""
"16","ORFENADRINA CITRATO 100 MG (LIBERACIÓN PROLONGADA)","Relajante muscular de acción central","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-D13|STOPP-D14|STOPP-M1","","B02|B03|B12|B13|B14|B18|B17"
"17","DIMETICONA ACTIVADA (SIMETICONA) 80 MG Ó MÁS/ML GOTAS ORALES X 10 ML A 15 ML","Antiflatulento","STOPP-A1|STOPP-A2|STOPP-A3","",""
"18","ALPRAZOLAM 0.5 MG","Ansiolítico: benzodiacepina","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-D8|STOPP-D9|STOPP-D10|STOPP-G4|STOPP-K1","","B01|B12|B13|B14|B15|B17"
"19","HIDROCLOROTIAZIDA 25 MG","Diurético tiazídico y antihipertensivo","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B9","START-B1","B11"
"20","ATORVASTATINA 10 MG","Hipolipemiante: estatina","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B16","START-B2",""
"21","IRBESARTÁN 150 MG","Antihipertensivo: antagonista del receptor de angiotensina II (ARA-II)","STOPP-A1|STOPP-A2|STOPP-A3|STOPP-B12|STOPP-B13","START-B1|START-E4|START-J1","B21|B22"
